view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
11479660,177938.0,6476.0,1252.0,57.0,87938,40,7,7,26
14845120,89957.0,10327.0,1345.0,98.0,301864,56,33,11,26
10416233,179447.0,9989.0,1306.0,82.0,83130,21,5,5,27
9301478,197033.0,6854.0,785.0,68.0,80346,58,11,9,27
30980561,155493.0,10688.0,1671.0,168.0,241195,90,12,9,27
2707278,108799.0,4730.0,208.0,22.0,51411,107,21,11,27
9624700,72271.0,4643.0,832.0,98.0,118969,56,24,11,27
8882397,135576.0,8481.0,516.0,31.0,63588,40,32,13,27
6229998,375231.0,10717.0,1876.0,190.0,82604,36,25,19,27
13255097,182190.0,12823.0,1047.0,64.0,153441,15,92,30,27
4564496,61624.0,4592.0,421.0,40.0,46811,39,0,0,28
1238475,42668.0,3240.0,249.0,26.0,18720,25,2,1,28
5054470,325174.0,5865.0,415.0,28.0,33792,44,3,2,28
7605178,181417.0,12719.0,1211.0,88.0,74550,47,3,3,28
1558288,213670.0,4931.0,355.0,45.0,12349,21,9,5,28
602992,88744.0,3045.0,95.0,9.0,6321,11,9,7,28
6365724,172111.0,8006.0,890.0,57.0,64961,57,15,8,28
1505129,74146.0,1307.0,150.0,25.0,14065,9,0,0,29
9325370,125476.0,10688.0,277.0,13.0,164609,4,3,1,29
3340555,138691.0,3662.0,538.0,67.0,39846,11,3,3,29
12461562,181812.0,5877.0,687.0,74.0,116609,41,4,3,29
10199055,170918.0,10743.0,789.0,32.0,52311,24,10,3,29
8336903,173017.0,14379.0,490.0,34.0,84832,40,19,13,29
1405240,222257.0,4974.0,310.0,34.0,13325,35,2,2,30
4418334,53909.0,2315.0,213.0,16.0,26992,9,2,2,30
11163083,169966.0,7015.0,488.0,20.0,88997,39,3,2,30
1671859,192018.0,3988.0,275.0,30.0,16731,14,8,3,30
4437634,185148.0,5405.0,447.0,49.0,18112,23,6,5,30
2463074,102201.0,6003.0,843.0,49.0,20989,42,6,5,30
4248694,187645.0,6372.0,555.0,56.0,39289,17,10,5,30
5459768,137977.0,6883.0,393.0,37.0,52961,15,11,9,30
7689889,75734.0,3272.0,326.0,35.0,112971,16,27,14,30
13941267,298665.0,13054.0,1431.0,124.0,157024,52,31,20,30
588590,106847.0,3746.0,209.0,33.0,18379,18,0,0,31
